MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 0.27, 0.19, 0.24,-999.00,-999.00, 0.19,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.16, 0.17
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.11, 0.10, 0.13, 0.11, 0.11,-999.00, 0.09, 0.15
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 0.18, 0.16, 0.17, 0.17, 0.17,-999.00, 0.20, 0.23
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.25, 0.80
CSIRO-Mk3L-1-2, 0.13,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 0.08,-999.00,-999.00,-999.00,-999.00, 0.09, 0.10
FGOALS-s2, 0.14,-999.00,-999.00, 0.09, 0.12,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 0.12,-999.00,-999.00, 0.09, 0.08,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 0.06, 0.11, 0.06, 0.07,-999.00, 0.06, 0.06
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.46, 0.53,-999.00,-999.00,-999.00,-999.00,-999.00, 0.42
HadGEM2-ES,-999.00, 0.31,-999.00, 0.31, 0.19,-999.00, 0.27, 0.28
HadGEM3-GC31, 0.30, 0.22,-999.00,-999.00,-999.00, 0.16,-999.00,-999.00
IPSL-CM5A-LR, 0.17, 0.15, 0.21, 0.10, 0.10,-999.00, 0.13, 0.28
IPSL-CM6A-LR, 0.18, 0.18,-999.00, 0.14, 0.11, 0.18,-999.00,-999.00
KCM1-2-2, 0.40, 0.28,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 0.15, 0.14, 0.20,-999.00,-999.00,-999.00, 0.10, 0.08
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.18, 0.16, 0.23, 0.15, 0.17,-999.00,-999.00,-999.00
MRI-CGCM3, 0.13, 0.13, 0.12, 0.21, 0.14,-999.00, 0.10, 0.12
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
