MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 0.20, 0.19, 0.21,-999.00,-999.00, 0.19,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.13, 0.07
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.17, 0.16, 0.21, 0.14, 0.12,-999.00, 0.11, 0.17
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 0.14, 0.17, 0.13, 0.13, 0.10,-999.00, 0.11, 0.10
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.18, 0.12
CSIRO-Mk3L-1-2, 0.08,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 0.07,-999.00,-999.00,-999.00,-999.00, 0.07, 0.05
FGOALS-s2, 0.18,-999.00,-999.00, 0.12, 0.12,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 0.14,-999.00,-999.00, 0.12, 0.12,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 0.03, 0.05, 0.02, 0.03,-999.00, 0.04, 0.02
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.30, 0.34,-999.00,-999.00,-999.00,-999.00,-999.00, 0.17
HadGEM2-ES,-999.00, 0.30,-999.00, 0.22, 0.11,-999.00, 0.21, 0.18
HadGEM3-GC31, 0.30, 0.30,-999.00,-999.00,-999.00, 0.20,-999.00,-999.00
IPSL-CM5A-LR, 0.12, 0.11, 0.19, 0.08, 0.07,-999.00, 0.10, 0.09
IPSL-CM6A-LR, 0.18, 0.18,-999.00, 0.15, 0.09, 0.17,-999.00,-999.00
KCM1-2-2, 0.23, 0.34,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 0.11, 0.10, 0.13,-999.00,-999.00,-999.00, 0.06, 0.04
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.19, 0.14, 0.21, 0.15, 0.19,-999.00,-999.00,-999.00
MRI-CGCM3, 0.15, 0.16, 0.20, 0.15, 0.13,-999.00, 0.11, 0.10
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
