MODE,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
nino34, 0.77, 1.34, 2.09, 2.06, 0.39, 0.78, 1.01
tropical_indian_ocean, 0.96, 1.24, 1.07, 1.36, 0.87, 0.69, 1.98
tas_global_avg_mon, 1.46, 1.35, 0.66, 0.82, 0.50, 0.52, 1.54
southern_ocean, 1.03, 0.38, 1.14, 0.87, 0.51, 0.75,43.94
south_tropical_atlantic, 0.92, 1.11, 1.16, 0.86, 0.74, 0.62, 0.66
north_tropical_atlantic, 0.86, 1.19, 0.97, 1.39, 0.67, 0.88, 2.53
iod_timeseries_mon, 1.33, 1.92, 1.47, 1.00, 2.08, 1.00, 0.86
amo_timeseries_mon, 0.98, 1.44, 1.07, 1.25, 0.69, 0.84,16.81
amm_timeseries_mon, 0.80, 1.25, 0.86, 0.71, 0.60, 0.69, 1.33
atl3_timeseries_mon, 1.10, 1.52, 0.69, 0.60, 0.78, 0.54, 0.49
pdo_pattern_mon, 1.01, 1.30, 1.11, 1.30, 1.06, 0.88, 1.72
ipo_pattern_mon, 1.31, 1.64, 5.93, 4.14, 1.06, 1.71,12.20
nam_pattern_mon, 0.95, 0.88, 1.13, 1.09, 0.89, 0.97, 1.13
nao_pattern_djf, 1.02, 0.76, 1.11, 1.03, 0.90, 1.00, 1.08
sam_mon, 1.07, 1.15, 1.10, 0.87, 1.08, 1.00, 1.00
