MODE,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
nino34, 0.74, 0.83, 2.21, 0.51, 0.39,-999.00,-999.00
tropical_indian_ocean, 0.87, 0.61, 1.11, 0.95, 0.87,-999.00,-999.00
tas_global_avg_mon, 0.94, 0.65, 0.53, 0.35, 0.50,-999.00,-999.00
southern_ocean, 1.52, 0.23, 0.69, 0.55, 0.51,-999.00,-999.00
south_tropical_atlantic, 0.84, 0.72, 0.91, 0.60, 0.74,-999.00,-999.00
north_tropical_atlantic, 0.74, 0.81, 0.79, 0.74, 0.67,-999.00,-999.00
iod_timeseries_mon, 2.26, 0.91, 2.71, 0.56, 2.08,-999.00,-999.00
amo_timeseries_mon, 0.94, 0.75, 0.74, 0.95, 0.69,-999.00,-999.00
amm_timeseries_mon, 0.69, 0.84, 0.57, 0.41, 0.60,-999.00,-999.00
atl3_timeseries_mon, 0.99, 1.12, 0.71, 0.56, 0.78,-999.00,-999.00
pdo_pattern_mon, 1.12, 1.58, 1.20, 1.19, 1.06,-999.00,-999.00
ipo_pattern_mon, 1.28, 1.04, 6.31, 2.43, 1.06,-999.00,-999.00
nam_pattern_mon, 0.87, 1.02, 1.26, 1.13, 0.89,-999.00,-999.00
nao_pattern_djf, 0.87, 0.75, 1.25, 1.08, 0.90,-999.00,-999.00
sam_mon, 1.07, 1.15, 1.15, 0.92, 1.08,-999.00,-999.00
