MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 0.23, 0.42, 0.22,-999.00,-999.00, 0.42,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.15, 0.12
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.37, 0.22, 0.34, 0.29, 0.37,-999.00, 0.30, 0.18
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 0.39, 0.29, 0.34, 0.40, 0.45,-999.00, 0.38, 0.25
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.92, 1.10
CSIRO-Mk3L-1-2, 0.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 0.07,-999.00,-999.00,-999.00,-999.00, 0.15, 0.13
FGOALS-s2, 0.52,-999.00,-999.00, 0.26, 0.20,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 0.22,-999.00,-999.00, 0.16, 0.11,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 0.08, 0.08, 0.07, 0.07,-999.00, 0.10, 0.08
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.32, 0.21,-999.00,-999.00,-999.00,-999.00,-999.00, 0.23
HadGEM2-ES,-999.00, 0.20,-999.00, 0.16, 0.16,-999.00, 0.20, 0.23
HadGEM3-GC31, 0.23, 0.23,-999.00,-999.00,-999.00, 0.21,-999.00,-999.00
IPSL-CM5A-LR, 0.24, 0.24, 0.29, 0.14, 0.12,-999.00, 0.27, 0.41
IPSL-CM6A-LR, 0.16, 0.25,-999.00, 0.37, 0.15, 0.23,-999.00,-999.00
KCM1-2-2, 0.20, 0.27,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 0.12, 0.10, 0.31,-999.00,-999.00,-999.00, 0.13, 0.05
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.29, 0.39, 0.17, 0.48, 0.50,-999.00,-999.00,-999.00
MRI-CGCM3, 0.12, 0.13, 0.18, 0.14, 0.13,-999.00, 0.11, 0.11
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
