MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 1.94, 1.65, 1.96,-999.00,-999.00, 1.72,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 2.01, 2.03
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.02, 2.00, 1.75, 2.12, 2.15,-999.00, 2.02, 2.15
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 1.60, 1.59, 1.54, 1.59, 1.60,-999.00, 1.60, 1.80
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 1.40, 2.01
CSIRO-Mk3L-1-2, 1.24,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.60, 1.55,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 1.32,-999.00,-999.00,-999.00,-999.00, 1.41, 1.48
FGOALS-s2, 2.07,-999.00,-999.00, 2.12, 2.19,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 1.85,-999.00,-999.00, 2.01, 2.06,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 1.45, 1.43, 1.72, 1.61,-999.00, 1.60, 1.79
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.46, 1.55,-999.00,-999.00,-999.00,-999.00,-999.00, 1.65
HadGEM2-ES,-999.00, 1.42,-999.00, 1.55, 1.59,-999.00, 1.43, 1.46
HadGEM3-GC31, 1.66, 1.56,-999.00,-999.00,-999.00, 1.56,-999.00,-999.00
IPSL-CM5A-LR, 1.88, 1.81, 1.50, 2.03, 1.93,-999.00, 1.86, 2.01
IPSL-CM6A-LR, 1.84, 1.83,-999.00, 2.13, 1.86, 1.82,-999.00,-999.00
KCM1-2-2, 2.92, 2.91,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 1.81, 1.76, 1.93,-999.00,-999.00,-999.00, 1.69, 1.77
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.76, 1.66, 1.71, 1.87, 1.94,-999.00,-999.00,-999.00
MRI-CGCM3, 2.11, 2.12, 1.79, 2.22, 2.07,-999.00, 2.09, 2.14
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
