MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 2.43, 1.86, 2.11,-999.00,-999.00, 1.92,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 2.01, 1.89
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 2.00, 1.94, 1.55, 2.11, 2.00,-999.00, 2.13, 1.98
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 1.78, 1.81, 1.79, 1.61, 1.93,-999.00, 1.84, 2.08
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 1.81, 2.08
CSIRO-Mk3L-1-2, 1.40,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.72, 1.70,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 1.52,-999.00,-999.00,-999.00,-999.00, 1.51, 1.66
FGOALS-s2, 2.14,-999.00,-999.00, 2.12, 2.08,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 2.13,-999.00,-999.00, 2.33, 2.46,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 1.91, 1.55, 1.88, 1.78,-999.00, 1.89, 1.96
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.84, 2.31,-999.00,-999.00,-999.00,-999.00,-999.00, 1.98
HadGEM2-ES,-999.00, 1.82,-999.00, 2.21, 2.23,-999.00, 1.97, 1.82
HadGEM3-GC31, 2.04, 1.99,-999.00,-999.00,-999.00, 2.14,-999.00,-999.00
IPSL-CM5A-LR, 2.27, 2.22, 1.61, 2.51, 2.24,-999.00, 2.16, 2.15
IPSL-CM6A-LR, 2.26, 2.34,-999.00, 2.57, 2.05, 2.23,-999.00,-999.00
KCM1-2-2, 2.58, 2.62,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 2.18, 2.11, 1.94,-999.00,-999.00,-999.00, 2.07, 2.01
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 2.10, 2.12, 2.00, 2.37, 2.06,-999.00,-999.00,-999.00
MRI-CGCM3, 2.05, 2.14, 1.78, 2.00, 2.03,-999.00, 2.03, 2.24
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
