MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 0.10, 0.07, 0.09,-999.00,-999.00, 0.07,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.10, 0.09
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 0.06, 0.06, 0.06, 0.04, 0.08,-999.00, 0.06, 0.10
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 0.09, 0.10, 0.09, 0.09, 0.09,-999.00, 0.11, 0.13
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 0.13, 0.32
CSIRO-Mk3L-1-2, 0.06,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 0.05,-999.00,-999.00,-999.00,-999.00, 0.05, 0.06
FGOALS-s2, 0.07,-999.00,-999.00, 0.09, 0.13,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 0.10,-999.00,-999.00, 0.09, 0.10,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 0.04, 0.05, 0.04, 0.05,-999.00, 0.04, 0.07
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 0.15, 0.15,-999.00,-999.00,-999.00,-999.00,-999.00, 0.24
HadGEM2-ES,-999.00, 0.12,-999.00, 0.12, 0.09,-999.00, 0.13, 0.13
HadGEM3-GC31, 0.16, 0.12,-999.00,-999.00,-999.00, 0.10,-999.00,-999.00
IPSL-CM5A-LR, 0.08, 0.07, 0.10, 0.06, 0.05,-999.00, 0.05, 0.18
IPSL-CM6A-LR, 0.12, 0.12,-999.00, 0.11, 0.08, 0.12,-999.00,-999.00
KCM1-2-2, 0.12, 0.11,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 0.10, 0.07, 0.12,-999.00,-999.00,-999.00, 0.08, 0.07
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 0.09, 0.07, 0.11, 0.07, 0.14,-999.00,-999.00,-999.00
MRI-CGCM3, 0.07, 0.07, 0.07, 0.09, 0.07,-999.00, 0.07, 0.09
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
