MODEL,piControl,midHolocene,lgm,1pctCO2,abrupt4xCO2,lig127k,rcp26,rcp85 
AWI-ESM, 1.64, 1.73, 1.75,-999.00,-999.00, 1.71,-999.00,-999.00
bcc-csm1-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 1.45, 1.50
BCC-CSM2-MR,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
BCC-ESM1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CCSM4, 1.44, 1.43, 1.52, 1.35, 1.26,-999.00, 1.35, 1.22
CCSM4-r2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CESM2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-CM5, 1.44, 1.44, 1.45, 1.45, 1.37,-999.00, 1.41, 1.43
CNRM-CM6-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CNRM-ESM2-1,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
COSMOS-ASO,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
CSIRO-Mk3-6-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00, 1.42, 1.74
CSIRO-Mk3L-1-2, 1.65,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
EC-EARTH-2-2, 1.44, 1.48,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
FGOALS-g2,-999.00, 1.42,-999.00,-999.00,-999.00,-999.00, 1.38, 1.46
FGOALS-s2, 1.92,-999.00,-999.00, 2.04, 1.62,-999.00,-999.00,-999.00
GFDL-CM4,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-1-G, 1.48,-999.00,-999.00, 1.52, 1.42,-999.00,-999.00,-999.00
GISS-E2-R-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
GISS-E2-R,-999.00, 1.62, 1.59, 1.67, 1.49,-999.00, 1.59, 1.55
HadCM3,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
HadGEM2-CC, 1.52, 1.44,-999.00,-999.00,-999.00,-999.00,-999.00, 1.54
HadGEM2-ES,-999.00, 1.50,-999.00, 1.47, 1.33,-999.00, 1.44, 1.47
HadGEM3-GC31, 1.42, 1.44,-999.00,-999.00,-999.00, 1.43,-999.00,-999.00
IPSL-CM5A-LR, 2.15, 2.18, 1.92, 2.46, 2.04,-999.00, 2.27, 2.30
IPSL-CM6A-LR, 1.64, 1.67,-999.00, 1.83, 1.56, 1.74,-999.00,-999.00
KCM1-2-2, 1.79, 2.23,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC6,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MIROC-ESM, 1.63, 1.63, 1.50,-999.00,-999.00,-999.00, 1.61, 1.69
MPI-ESM-P-p2,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
MPI-ESM-P, 1.66, 1.66, 1.65, 1.75, 1.58,-999.00,-999.00,-999.00
MRI-CGCM3, 1.71, 1.82, 2.49, 1.76, 1.68,-999.00, 1.76, 1.74
MRI-ESM2-0,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00
